gene	score_guild	rank
1	0.4444444443409641	1
4074	0.1667874396135828	2
2288	0.1667874396135828	3
9997	0.00012077294691614142	4
9935	0.00012077294691614142	5
9939	0.00012077294691614142	6
9943	0.00012077294691614142	7
9951	0.00012077294691614142	8
9953	0.00012077294691614142	9
9955	0.00012077294691614142	10
9956	0.00012077294691614142	11
9965	0.00012077294691614142	12
9966	0.00012077294691614142	13
997	0.00012077294691614142	14
9978	0.00012077294691614142	15
9982	0.00012077294691614142	16
9986	0.00012077294691614142	17
9992	0.00012077294691614142	18
988	0.00012077294691614142	19
100287478	0.00012077294691614142	20
100287513	0.00012077294691614142	21
100287932	0.00012077294691614142	22
100423062	0.00012077294691614142	23
100431172	0.00012077294691614142	24
100463285	0.00012077294691614142	25
100463482	0.00012077294691614142	26
100463486	0.00012077294691614142	27
100463498	0.00012077294691614142	28
100526740	0.00012077294691614142	29
100526767	0.00012077294691614142	30
100526794	0.00012077294691614142	31
100529097	0.00012077294691614142	32
100529239	0.00012077294691614142	33
100532726	0.00012077294691614142	34
100532731	0.00012077294691614142	35
100534599	0.00012077294691614142	36
10063	0.00012077294691614142	37
10071	0.00012077294691614142	38
100861540	0.00012077294691614142	39
10090	0.00012077294691614142	40
10098	0.00012077294691614142	41
100996939	0.00012077294691614142	42
10120	0.00012077294691614142	43
10140	0.00012077294691614142	44
10148	0.00012077294691614142	45
1018	0.00012077294691614142	46
10189	0.00012077294691614142	47
10199	0.00012077294691614142	48
10201	0.00012077294691614142	49
10210	0.00012077294691614142	50
10215	0.00012077294691614142	51
10221	0.00012077294691614142	52
10226	0.00012077294691614142	53
10240	0.00012077294691614142	54
10248	0.00012077294691614142	55
10268	0.00012077294691614142	56
10270	0.00012077294691614142	57
102723407	0.00012077294691614142	58
102724159	0.00012077294691614142	59
102724594	0.00012077294691614142	60
102724652	0.00012077294691614142	61
102724788	0.00012077294691614142	62
10286	0.00012077294691614142	63
10289	0.00012077294691614142	64
10309	0.00012077294691614142	65
1032	0.00012077294691614142	66
10324	0.00012077294691614142	67
10328	0.00012077294691614142	68
1036	0.00012077294691614142	69
10368	0.00012077294691614142	70
10369	0.00012077294691614142	71
10379	0.00012077294691614142	72
10383	0.00012077294691614142	73
1039	0.00012077294691614142	74
1041	0.00012077294691614142	75
10418	0.00012077294691614142	76
10421	0.00012077294691614142	77
10428	0.00012077294691614142	78
10432	0.00012077294691614142	79
10435	0.00012077294691614142	80
1046	0.00012077294691614142	81
10469	0.00012077294691614142	82
10481	0.00012077294691614142	83
1050	0.00012077294691614142	84
1051	0.00012077294691614142	85
1052	0.00012077294691614142	86
1053	0.00012077294691614142	87
10535	0.00012077294691614142	88
105375355	0.00012077294691614142	89
10538	0.00012077294691614142	90
1054	0.00012077294691614142	91
10544	0.00012077294691614142	92
10563	0.00012077294691614142	93
10566	0.00012077294691614142	94
10584	0.00012077294691614142	95
10589	0.00012077294691614142	96
10597	0.00012077294691614142	97
10598	0.00012077294691614142	98
10602	0.00012077294691614142	99
10606	0.00012077294691614142	100
10623	0.00012077294691614142	101
10628	0.00012077294691614142	102
10629	0.00012077294691614142	103
10632	0.00012077294691614142	104
10647	0.00012077294691614142	105
10652	0.00012077294691614142	106
10654	0.00012077294691614142	107
10666	0.00012077294691614142	108
10670	0.00012077294691614142	109
10671	0.00012077294691614142	110
1068	0.00012077294691614142	111
10686	0.00012077294691614142	112
10692	0.00012077294691614142	113
1070	0.00012077294691614142	114
10714	0.00012077294691614142	115
107987373	0.00012077294691614142	116
10800	0.00012077294691614142	117
10809	0.00012077294691614142	118
1081	0.00012077294691614142	119
10811	0.00012077294691614142	120
10818	0.00012077294691614142	121
10850	0.00012077294691614142	122
10858	0.00012077294691614142	123
10871	0.00012077294691614142	124
10888	0.00012077294691614142	125
10891	0.00012077294691614142	126
10894	0.00012077294691614142	127
10926	0.00012077294691614142	128
10929	0.00012077294691614142	129
10930	0.00012077294691614142	130
10945	0.00012077294691614142	131
10949	0.00012077294691614142	132
10961	0.00012077294691614142	133
109703458	0.00012077294691614142	134
10972	0.00012077294691614142	135
10978	0.00012077294691614142	136
11018	0.00012077294691614142	137
11041	0.00012077294691614142	138
11045	0.00012077294691614142	139
11056	0.00012077294691614142	140
11067	0.00012077294691614142	141
11081	0.00012077294691614142	142
11091	0.00012077294691614142	143
11096	0.00012077294691614142	144
11112	0.00012077294691614142	145
11140	0.00012077294691614142	146
11172	0.00012077294691614142	147
11193	0.00012077294691614142	148
1122	0.00012077294691614142	149
11222	0.00012077294691614142	150
11227	0.00012077294691614142	151
11232	0.00012077294691614142	152
11236	0.00012077294691614142	153
112398	0.00012077294691614142	154
112609	0.00012077294691614142	155
112694756	0.00012077294691614142	156
112714	0.00012077294691614142	157
1128	0.00012077294691614142	158
112817	0.00012077294691614142	159
112858	0.00012077294691614142	160
112869	0.00012077294691614142	161
113091	0.00012077294691614142	162
113189	0.00012077294691614142	163
1132	0.00012077294691614142	164
11329	0.00012077294691614142	165
11331	0.00012077294691614142	166
11339	0.00012077294691614142	167
11345	0.00012077294691614142	168
1141	0.00012077294691614142	169
114131	0.00012077294691614142	170
114791	0.00012077294691614142	171
114907	0.00012077294691614142	172
115416	0.00012077294691614142	173
115650	0.00012077294691614142	174
115653	0.00012077294691614142	175
116150	0.00012077294691614142	176
116285	0.00012077294691614142	177
1164	0.00012077294691614142	178
116442	0.00012077294691614142	179
116443	0.00012077294691614142	180
116540	0.00012077294691614142	181
116541	0.00012077294691614142	182
117143	0.00012077294691614142	183
117144	0.00012077294691614142	184
117194	0.00012077294691614142	185
117285	0.00012077294691614142	186
117579	0.00012077294691614142	187
118460	0.00012077294691614142	188
118487	0.00012077294691614142	189
119504	0.00012077294691614142	190
1207	0.00012077294691614142	191
121340	0.00012077294691614142	192
121504	0.00012077294691614142	193
122042	0.00012077294691614142	194
122706	0.00012077294691614142	195
122876	0.00012077294691614142	196
122970	0.00012077294691614142	197
1230	0.00012077294691614142	198
